nama;tanggal;ulasan;rating;sumber;Unnamed: 5;sentimen
Fe'i Sabank;29/10/2025 00:16;Sangat puas dengan performa Starlink selama pemakaian kurang lebih 4 bulan ini🙏🏻👌🏻;5;Google Play Store;;Negatif
Djamal Pakaja;28/10/2025 10:49;sangat baik 👍;5;Google Play Store;;Positif
Tony Chandra;28/10/2025 10:07;bagus buat daerah yang tidak ada jaringan;5;Google Play Store;;Netral
Dedyk Eko P;27/10/2025 12:39;good;4;Google Play Store;;Netral
Cocopone;27/10/2025 01:35;pajri;5;Google Play Store;;Netral
Ihfan Pangestu31;26/10/2025 14:36;caranya gimna;5;Google Play Store;;Negatif
Dedi Irawan;26/10/2025 13:15;mantap;4;Google Play Store;;Netral
sis akbar;26/10/2025 10:01;mantap;5;Google Play Store;;Netral
J3 Ermayo;26/10/2025 07:52;kekurangan aplikasi ini, jika ada orang yang memiliki aplikasi ini juga dan pernah terhubung ke wifi Starlink, orang tersebut dapat me reboot router Starlink. sama seperti user pemilik Starlink atau router.;4;Google Play Store;;Negatif
Gus kirun;26/10/2025 05:21;bagus dan sangat baik;5;Google Play Store;;Positif
Sebastian maria Yolenta eta;26/10/2025 05:09;mantap;5;Google Play Store;;Netral
Tirsa Adit;26/10/2025 04:59;sedikit lambat internetnya;5;Google Play Store;;Negatif
Gading Kahar;25/10/2025 01:00;👍🏻👍🏻👍🏻👍🏻;5;Google Play Store;;Netral
Rudi Prihatin;21/10/2025 13:19;starlink sangat baik dan membantu sekali;5;Google Play Store;;Positif
Randy Randy;20/10/2025 13:15;bagus untuk daerah pedalaman yang susah internet. masih bisa kecepatan 100-200Mbps;5;Google Play Store;;Positif
Indrajaya Dwi H;20/10/2025 11:05;sangat memuaskan;5;Google Play Store;;Positif
Fajar sandi Laksmana;20/10/2025 09:33;mantap banget bosku;5;Google Play Store;;Netral
Muhammad Syahruddin;20/10/2025 01:17;mantap;5;Google Play Store;;Netral
Radja Booi;19/10/2025 15:16;rekomendasi;5;Google Play Store;;Positif
Ainul Satriadi;19/10/2025 14:07;layanan terbaik;5;Google Play Store;;Positif
dedi sumurubu;19/10/2025 13:19;sangat bagus;5;Google Play Store;;Positif
Alldy Stiawan;19/10/2025 12:38;di tingkatkan lagi masalah ganti plan yg masih mengecewakan masak harus tunggu 3 bulan baru boleh rubah plaan bisnis ke standar;5;Google Play Store;;Negatif
Iwan Jhon Frengki;19/10/2025 10:51;upload is very slow live cctv;5;Google Play Store;;Netral
Ali Budianto;18/10/2025 23:09;STARTING SANGAT BAGUS JARINGAN TERBAIK;5;Google Play Store;;Positif
habibi suito;18/10/2025 11:51;mantap...;5;Google Play Store;;Netral
Nurul Haq;18/10/2025 10:21;Puas dengan kecepatan internetnya, semoga tetap seperti itu terus walaupun pelanggan bertambah banyak;5;Google Play Store;;Positif
Rianus Simon;17/10/2025 04:57;jos;5;Google Play Store;;Netral
Felen Ahmad;17/10/2025 01:47;mantap;5;Google Play Store;;Netral
Fais Faisal;16/10/2025 12:47;susah masuk dengan imel;1;Google Play Store;;Netral
Putra Novmbr;16/10/2025 09:17;bnyk bug nya;1;Google Play Store;;Negatif
Marchel Numberi;16/10/2025 04:54;top one;5;Google Play Store;;Positif
Gamaliel Pisga;16/10/2025 01:40;Mantap... jaringanya ok;5;Google Play Store;;Positif
Muhammad Darwis;15/10/2025 22:19;good service;5;Google Play Store;;Netral
Anugrah Putra Setiawan;15/10/2025 01:34;Aplikasi yang luarbiasa;5;Google Play Store;;Negatif
Dionesius;14/10/2025 11:56;no comment,;5;Google Play Store;;Netral
Bernadus Kopong Tokan;14/10/2025 05:57;mantap dan terpercaya;5;Google Play Store;;Positif
yusrannagan;13/10/2025 15:17;moga awet;5;Google Play Store;;Netral
Bong Manu;13/10/2025 11:19;kenapa TDK bisa kasi masuk akun baru;5;Google Play Store;;Netral
Anang Marub;13/10/2025 04:15;bagus banget,sinyal kuat.;5;Google Play Store;;Positif
Udin 002;12/10/2025 23:47;keren;5;Google Play Store;;Netral
Ali Mutma'in;12/10/2025 02:36;mantap;5;Google Play Store;;Netral
Sudar Man;11/10/2025 22:21;spek;5;Google Play Store;;Netral
imam muflikhun;11/10/2025 16:12;"mantap. gada drama"" lagi..";5;Google Play Store;;Netral
Bcssn Bahdi;11/10/2025 07:35;mantap sekali;5;Google Play Store;;Netral
Katihara;10/10/2025 13:11;bagus dan bermanfaat;5;Google Play Store;;Positif
Yun Warkula;09/10/2025 03:36;mantabbbb;5;Google Play Store;;Positif
Iswandi 2708;08/10/2025 08:09;sangat memuaskan;5;Google Play Store;;Positif
Aghilo #21;08/10/2025 07:38;good;5;Google Play Store;;Netral
Anggi Widyanto;07/10/2025 10:27;oke;5;Google Play Store;;Netral
Mas Totok;07/10/2025 04:07;pakai Starlink sangat puas;5;Google Play Store;;Netral
DAYAT dayat;07/10/2025 01:57;Jossss;5;Google Play Store;;Netral
ANA IRAWATI;06/10/2025 21:29;cepet bgt;5;Google Play Store;;Netral
Ahmad Azhari;06/10/2025 13:20;kenapa login di aplikasi starlink tidak bisa, mohon penjelasannya;4;Google Play Store;;Negatif
Taufik Fadilah;06/10/2025 08:49;ok;4;Google Play Store;;Netral
Maxwel Sumala;05/10/2025 23:08;mantap;5;Google Play Store;;Netral
Narto Roso;05/10/2025 07:13;mantap;5;Google Play Store;;Netral
Cholib Sogiono;03/10/2025 14:41;starlink..... the best..... NO DEBAT;5;Google Play Store;;Netral
IKYY X;02/10/2025 13:15;iiyy;5;Google Play Store;;Netral
Muja Hidin;02/10/2025 12:14;kenapa perangkat tidak bisa di jeda;3;Google Play Store;;Netral
Deni Purba;02/10/2025 10:47;good;5;Google Play Store;;Netral
Rafid Dumai;02/10/2025 09:10;ok;5;Google Play Store;;Netral
Muhammad hamza;02/10/2025 09:03;sinyal bagus di mana saja tetap bisa;5;Google Play Store;;Positif
Paharuddin;02/10/2025 04:22;terbaik bosku;5;Google Play Store;;Positif
Firmansyahalvino Al;01/10/2025 05:07;mantapnya;5;Google Play Store;;Netral
Marpaung Bivo 1989;01/10/2025 02:24;good;5;Google Play Store;;Netral
Kamelia Spt;30/09/2025 22:02;mantap;5;Google Play Store;;Netral
Abdul Khalik;30/09/2025 20:00;bagus;5;Google Play Store;;Positif
Achmad Ronji;30/09/2025 15:34;bagus;5;Google Play Store;;Positif
Abd. Jalil H. Pulumoduyo;29/09/2025 23:00;𝚃𝚎𝚛𝚋𝚊𝚒𝚔;5;Google Play Store;;Netral
Amin Ngk;29/09/2025 03:23;sangat terbantu sekali makasih starlink;5;Google Play Store;;Negatif
Sardi Bakri;28/09/2025 13:41;mantap;5;Google Play Store;;Netral
suliadi setia;28/09/2025 09:33;TOP jaringan kuat tanpa hambatan;5;Google Play Store;;Netral
John Peter Ngo;28/09/2025 04:42;Sangat membantu, trims elon.;5;Google Play Store;;Positif
jep Official;28/09/2025 02:44;good👍;5;Google Play Store;;Netral
BELAJAR BERSAMA;28/09/2025 02:18;mantap sekali;5;Google Play Store;;Netral
witan lasido;27/09/2025 13:40;sangat memuaskan;5;Google Play Store;;Positif
zulia gib;26/09/2025 20:13;bagus;5;Google Play Store;;Positif
sona laut;26/09/2025 10:28;mantap buat kami di pelosok..;5;Google Play Store;;Negatif
Nova Yuspan;26/09/2025 07:48;mantap;5;Google Play Store;;Netral
Arfa Ramadan;26/09/2025 00:27;sangat terbantu makasih starlink;5;Google Play Store;;Negatif
Muhammad Iqbal;25/09/2025 10:00;membantu banget utk kita pelaut;5;Google Play Store;;Positif
rilla kuma;25/09/2025 02:43;kami sangat terbantu dengan adanya starlink. kampung kami yang dari dahulu terisolir, perkara sangat jauh dari bts dan di ujung gunung akhirnya bisa merasakan nikmatnya koneksi internet di kampung kami. thanks starlink;5;Google Play Store;;Negatif
Alfareza Syah;24/09/2025 14:36;good👍;5;Google Play Store;;Netral
Martin Saker;24/09/2025 14:05;Sangat membantu;5;Google Play Store;;Positif
maikfal mandalika;23/09/2025 13:41;nice;5;Google Play Store;;Netral
David Sambora;23/09/2025 11:34;gimana ini gak bisa bayar tagihan...tolong dibikin sistem deposit aja biar gampang;1;Google Play Store;;Netral
Hirmanto97;23/09/2025 11:20;mantapp jangan lupa pelaut ambil pakek jelajah unlimited pasti aman;5;Google Play Store;;Netral
Gun Welti;23/09/2025 08:21;Starlink Gen 3 V.4 Mantap;5;Google Play Store;;Netral
smoker mr;22/09/2025 23:41;gak bisa buka statistik;5;Google Play Store;;Negatif
HABIBUN IRWAN;22/09/2025 11:01;mantap;4;Google Play Store;;Netral
Juna Edi;22/09/2025 04:13;top markotop;5;Google Play Store;;Positif
Rafly Rsfky;21/09/2025 16:23;terbaik di seluruh dunia;5;Google Play Store;;Positif
Antonius SKM;19/09/2025 02:23;cara koneksi masih bingung;4;Google Play Store;;Negatif
Putra Daha;18/09/2025 14:20;Mantap ada nya srarlink sangat mambatu di desa terpancil, tolong kembangkan lagi kecapatan supaya di cuaca mandung dan hujan juga setabil lagi, tapa sakang ini sangat dan sangat mebatu samagat pokoknya starlink selalu di udara dan juga mantap.......;5;Google Play Store;;Negatif
Renal Reyn;18/09/2025 08:20;mantapp;5;Google Play Store;;Netral
Eduart Boling weni;17/09/2025 02:49;terima kasih elon musk, sudah membuat terobosan besar ini buat dunia kami sangat terbantu dengan starlink buatan anda ini. semoga Tuhan menyertai anda selamanya;5;Google Play Store;;Netral
Ari Fauzie;16/09/2025 23:31;bagus dah;5;Google Play Store;;Positif
Pra Tiwi;16/09/2025 10:40;the best👍;5;Google Play Store;;Netral
lusi susanti;16/09/2025 06:18;starlink sangat membantu utk kami d daerah 3 T;5;Google Play Store;;Positif
rahmad akbar;16/09/2025 04:16;login apk gk bisa2, error terus;1;Google Play Store;;Netral
Edwin Akbar;16/09/2025 02:12;starlink gen 3 is the best;5;Google Play Store;;Netral
Risalman Ical;15/09/2025 23:08;dengan mengunakan starlink jaringan saya jadi lancar, mau telepon keluarga tadak ada kendala. pokoknya starlink sangat membantu kami;5;Google Play Store;;Positif
Dhini Hari;15/09/2025 22:59;sangat puas;5;Google Play Store;;Netral
Yudokus Juk;15/09/2025 05:18;sangat memuaskan memakai applikasi starlink ini dan cukup sangat membantu, tanpa batasan pula;5;Google Play Store;;Positif
Yulius Kolo;15/09/2025 04:43;mantap jaringannya;5;Google Play Store;;Positif
Rifki Andika;15/09/2025 03:31;mantap, uptime layanan setara fiber,untuk throughput mantap juga,harga makin terjangkau,ada beberapa bug visual di bbrp device,saran tambahkan penghitungan rata2 per hari pada penggunaan data;4;Google Play Store;;Negatif
zainal pinrang;15/09/2025 03:24;mantap;5;Google Play Store;;Netral
ROZYMEDIA Official;14/09/2025 23:49;Starlink sangat membantu orang pelosok seperti kami;5;Google Play Store;;Positif
Jefferson Jefferson ly;14/09/2025 09:18;mantap, kadang juga terganggu, mungkin pengaruh cuaca setempat...;3;Google Play Store;;Negatif
Arieyani Tamrin;14/09/2025 07:47;Terbaik 👍🏼;5;Google Play Store;;Positif
Ndak Ken;13/09/2025 14:48;Terima kasih saya ucapkan kepada pihak Starlink dengan adanya layanan Starlink kami bisa menerima dan mengakses layanan internet terkhusus yang berada di pelosok/Desa yang mana sebalumnya tidak ada internet, namun sekarang sudah menikmati yang namanya internet karena berkat kehadiran Satarlink.;5;Google Play Store;;Positif
Bheta TV;13/09/2025 14:08;verifikasi lewat sms sampai 10000000 jam pun tidak ada 1 pun yang masuk, ini sistem apaan. spacex itu perusahaan besar tapi sistem verifikasi sms nya sangat bobrok, parah sangat parah;1;Google Play Store;;Negatif
Iwan Alexander;13/09/2025 11:24;good stuff;5;Google Play Store;;Netral
Rahmat Wahyudi;13/09/2025 04:26;nggak bisa masuk ke akun;1;Google Play Store;;Netral
Achmad Wahidin Bin Hadi.S;12/09/2025 08:00;very helpful;5;Google Play Store;;Netral
AKHMAD PONTIANAK PASIS ANGKATAN XXII;12/09/2025 01:38;tolong starlink jaringan nya diperbaiki,soalnya tarif pembayaran naik tpi jaringan sering putus2.trimakasih;5;Google Play Store;;Netral
ferdinan ronal;11/09/2025 14:46;sangat bagus;5;Google Play Store;;Positif
Fauzhy Jontoer;11/09/2025 03:26;respon kurang cepat;3;Google Play Store;;Netral
CHAIRIL ANWAR;10/09/2025 21:33;Mantap;5;Google Play Store;;Netral
Fazrul Rumakamar;10/09/2025 11:40;tidak bisa masuk;5;Google Play Store;;Negatif
Boedy Prasetyo;10/09/2025 03:54;Mantap;5;Google Play Store;;Netral
Ibnu Rizal;09/09/2025 16:48;sgt baik;5;Google Play Store;;Positif
Axel Pratama;09/09/2025 05:34;sangat puas menggunakan starlink untuk bisnis wifi hotspot voucher 👍👍👍 dan cocok untuk ketersediaan jaringan internet terkhusuas untuk kami yang tinggal d plosok negeri ini;5;Google Play Store;;Positif
Ozan Patiran;08/09/2025 16:55;mantap;5;Google Play Store;;Netral
Tamsir Mhaya;08/09/2025 15:23;ok;5;Google Play Store;;Netral
M Topik hidayah;08/09/2025 15:13;starlink mantap;5;Google Play Store;;Netral
Yusran Umalekhoa (Yus);08/09/2025 12:00;saya harap starlink selalu perhatikan dan lakukan apapun itu untuk meminimalisir latency yang buruk sehingga kami akan tetap bisa menggunakan starlink selama lamanya, tapi kami selalu sambut pemain baru jika pemain baru lebih bagus dari segi jaringan dan harga;5;Google Play Store;;Positif
Achel Lepertery;08/09/2025 11:07;Jaringan stabil;4;Google Play Store;;Positif
syahdin buton;08/09/2025 06:25;mantap 👍👍👍👍👍💯💯💯💯;5;Google Play Store;;Netral
halwa Tony;08/09/2025 04:35;starlink is the best;5;Google Play Store;;Netral
Ahmad Efendi;08/09/2025 02:55;tidak bisa login karena email tidak ditemukan;1;Google Play Store;;Negatif
Gem Py;07/09/2025 13:23;good;5;Google Play Store;;Netral
Jhanny EL-Jzillzan;07/09/2025 10:08;sangat bagus kualitasnya;5;Google Play Store;;Positif
Manggaprouw Paul;06/09/2025 18:06;KEREN;5;Google Play Store;;Netral
Lukman;06/09/2025 12:37;sekarang sudah bisa bayar pakai gopay;5;Google Play Store;;Netral
Putri Putri;06/09/2025 06:59;ok;5;Google Play Store;;Netral
parimin rostin;05/09/2025 12:11;starlink sangat membantu kami di pedalaman;5;Google Play Store;;Positif
Adiadi Mln;05/09/2025 08:55;starlink memang sangat memuaskan bagi penguna wifi;5;Google Play Store;;Positif
Abjones;04/09/2025 15:46;oke banget;5;Google Play Store;;Netral
christian agustinus karepouwan;04/09/2025 14:33;good;5;Google Play Store;;Netral
Zulham Efendi;04/09/2025 12:02;yg terbaik;5;Google Play Store;;Positif
Zea Simatupang;03/09/2025 22:51;mantap;5;Google Play Store;;Netral
ACHMAD SURI;03/09/2025 12:20;mantap;5;Google Play Store;;Netral
Sharent Manede;03/09/2025 10:25;Sempurna sangat memuaskan;5;Google Play Store;;Positif
Alvinjj Alvinjj;03/09/2025 09:22;sangat memuaskan;5;Google Play Store;;Positif
Alwin Dalanggo;03/09/2025 00:59;sangat baik;5;Google Play Store;;Positif
ALDI SAPTRA gagau;02/09/2025 15:40;merantau;5;Google Play Store;;Netral
Lintang 88;02/09/2025 11:34;Bisa kah bantu saya,,, Starlink saya Lupa Sandi !!! mohon segera ada bantuan buat saya 🙏🙏🙏;5;Google Play Store;;Netral
Juan Faya;02/09/2025 11:27;wow kencang;5;Google Play Store;;Positif
Trivandy Hsn;02/09/2025 10:21;👍🏻👍🏻👍🏻👍🏻👍🏻;5;Google Play Store;;Netral
Mulianto Basrin;02/09/2025 02:49;keren;5;Google Play Store;;Netral
rina 85;01/09/2025 21:44;sangat terbantu dan signal bagus lancar;5;Google Play Store;;Positif
Yadi Shanty;01/09/2025 16:35;jos;5;Google Play Store;;Netral
aity Siti;01/09/2025 13:27;tinggatkan lagi jaringan agar lebih stabil;5;Google Play Store;;Positif
Ajat Sudarjat;01/09/2025 10:22;bagus berguna;5;Google Play Store;;Positif
Jagatgirinoto adjiesoko;01/09/2025 07:19;kurang cepat;3;Google Play Store;;Netral
Abdul Warwey;01/09/2025 06:01;memang sangat cepat;4;Google Play Store;;Positif
Darrell Matthew;31/08/2025 20:12;Bila sudah sore, kecepatan turun hingga 2 smp mbps, klo malam jam 7 kecepatan bs smp 0.3 mbps. Kirain stabil kecepatannya, ternyata tidak, bl semakin byk pemakaian akan semakin lambat.;4;Google Play Store;;Netral
Aliya Ulfa jariah;31/08/2025 16:36;aplikasinya alhamdulillah bagus bngt;5;Google Play Store;;Positif
Saiful Hadi;30/08/2025 13:56;its very hard use my visa to confirm my monthly bill;1;Google Play Store;;Netral
Eti Aryanti;29/08/2025 22:57;practice and very simple to use,,good job for starlink,,succes;5;Google Play Store;;Netral
iymah caem;29/08/2025 14:38;sangat membantu di tempat yang tdk ada jaringan selular;5;Google Play Store;;Positif
Sugiarto Sugiarto;28/08/2025 14:30;lumanyan cepat;5;Google Play Store;;Positif
CERITA BOLA TV;28/08/2025 12:53;sangat membantu kami yang ada di pelosok desa;5;Google Play Store;;Netral
dedy alloy;27/08/2025 23:50;starlink luar biasa. masih bisa turun lagi kah, billing bulanannya?❤👍👍👍❤❤🙏🙏;5;Google Play Store;;Negatif
Tanpa Nama;27/08/2025 13:03;tolong di perbaharui , di buat bahasa indonesia;5;Google Play Store;;Netral
Warta Tunggal;27/08/2025 05:37;bayar 750k tiap bulan tapi kecepatan downlod cuma 1Mb/s apalah;4;Google Play Store;;Positif
dewa gede buda utama;26/08/2025 22:14;solusi alternatif;5;Google Play Store;;Netral
Andi Lolo Taqwa;26/08/2025 13:31;amazingly;5;Google Play Store;;Netral
agracio alin;26/08/2025 09:49;terbaik;5;Google Play Store;;Positif
Love Tobing19;25/08/2025 16:27;excellent;5;Google Play Store;;Netral
Khoirul anam;25/08/2025 15:49;mantap lancar jaya memakai starlink Internet lancar jalur langit;5;Google Play Store;;Netral
DEN VIN KUL;25/08/2025 14:56;tdk bisa mengalihkan ke aplikasi mobile ketika login akun Dari web;1;Google Play Store;;Negatif
tong dul chanel;25/08/2025 12:16;ok;5;Google Play Store;;Netral
Tommy Jri;25/08/2025 12:05;semoga tambah bagus lg;4;Google Play Store;;Positif
Chamamy Resthy;25/08/2025 03:28;jos;5;Google Play Store;;Netral
Iyan Patabang;25/08/2025 01:23;Mantap👍;4;Google Play Store;;Netral
Starlink Boven;24/08/2025 18:04;sangat baik;5;Google Play Store;;Positif
Eddyson Sitepu;24/08/2025 11:37;mantap;5;Google Play Store;;Netral
Hengky Arvi;24/08/2025 10:57;sangat mantap;5;Google Play Store;;Netral
Ihram Ihra;24/08/2025 07:09;semoga bermanfaat;5;Google Play Store;;Positif
Sulaiman Sulaiman;24/08/2025 06:39;Pemakaian luar biasa hanya sja pembelian data untuk orang ke 2 agak susah pengaturan nya;5;Google Play Store;;Negatif
Imaril Rusla;23/08/2025 12:48;koneksi bagus;5;Google Play Store;;Positif
Selfianus Maupula;23/08/2025 01:16;Jaringan Internet dari Wifi Starlink Sangat membantu kami di daerah Sulit dalam melaksanakan Pelaporan tugas dan tanggung jawab Rutin.;5;Google Play Store;;Positif
Ashad Saputra;23/08/2025 00:35;Kami yang berada di pedalaman sungguh terbantu dengan adanya starlink setidak nya kami bisa lancar internetnya dan sekarang kami tidak bingung mencari sinyal, karena untuk kecepatannya sudah sangat cukup stabil dan kencang.;5;Google Play Store;;Positif
Hamsah Baee;22/08/2025 19:47;sangat membantu ada nya strlink;5;Google Play Store;;Positif
Ikhlas Purwanto;22/08/2025 14:02;makasih;5;Google Play Store;;Negatif
Bambang Hermawan;22/08/2025 11:29;ok;5;Google Play Store;;Netral
Candra Wijaya;21/08/2025 15:54;sangat baik peformanya;5;Google Play Store;;Positif
nanieddyliu2;21/08/2025 09:27;penyelamat nyawa pejuang internet di kampung2 dan desa2 tertinggal.;5;Google Play Store;;Negatif
Fani Soraya;21/08/2025 09:11;Please make small antenne;5;Google Play Store;;Netral
Rhogas Rhoy;21/08/2025 08:09;sangat membantu kami di desa pelosok;5;Google Play Store;;Netral
Banyan “Banyan” Paulus romy;21/08/2025 05:37;bantuh saya agar bisa atif kn starling yng baru di beli.. klo bisa saya sangat banggah;5;Google Play Store;;Positif
Muh.Ridwan Hasan;21/08/2025 01:11;Nice,.....;5;Google Play Store;;Netral
Faisal Fatgehipon;20/08/2025 15:28;nice;5;Google Play Store;;Netral
sariani kolengsusu;20/08/2025 11:18;sangat luar biasa;5;Google Play Store;;Negatif
purdianto sanggau10;20/08/2025 04:39;semoga tetap lancar jaringan;5;Google Play Store;;Positif
Delius Wenda;20/08/2025 04:21;bagus;5;Google Play Store;;Positif
agung yogie;19/08/2025 23:18;good;5;Google Play Store;;Netral
Hek Er;19/08/2025 20:24;aku kasih bintang 5 moga aplikasi ini kompatibel dengan smartphone ini;5;Google Play Store;;Negatif
Rijal Sukriyawan;19/08/2025 04:50;aplikasi sangat membantu trksi;4;Google Play Store;;Positif
DJumrin S. Tolodo;19/08/2025 01:03;Good;5;Google Play Store;;Netral
Delius Edowai;19/08/2025 00:16;ok;5;Google Play Store;;Netral
Ciandy Agustinus;18/08/2025 13:13;Sempurna, lancar jaya, Internetnya gaspoll, mantap. Sangat recommended;5;Google Play Store;;Positif
BG Vansz;18/08/2025 07:52;TOLONG FIX KAN BUG JEDA/PAUSE, mau kasi stop akses internet org ga bisa bisa;3;Google Play Store;;Netral
Adhi Putra;18/08/2025 07:01;nice;5;Google Play Store;;Netral
Maya Waliulu;17/08/2025 15:45;baik;5;Google Play Store;;Positif
Agus Mahesa;17/08/2025 01:19;the best,cocok untuk daerah jaringan kurang stabil hanya,teks setting untuk bhs indo nya belum bisa bgi kami yg kurang ngerti bhs inggris..;5;Google Play Store;;Positif
Bilsamsung Flip;16/08/2025 09:02;pembayaran susah, visa mandiri saya ngga bisa di pakai. 3 bulan pertama bisa di pakai..akhirnya sekarang starlinknya di anggurin.;1;Google Play Store;;Netral
Sri nur Aulia;16/08/2025 07:34;oke 👍;4;Google Play Store;;Netral
Sukman Diva;15/08/2025 14:09;sangat puas;5;Google Play Store;;Netral
Awanda sugandar;14/08/2025 13:21;👍bagus;5;Google Play Store;;Positif
Eko Sugianto;14/08/2025 05:58;luar biasa kecepatannya sangat membantu aplikasi di puskesmas;5;Google Play Store;;Positif
Mujahid Mannan;13/08/2025 16:19;Untuk orang desa seperti kami, ini adalah kemewahan. Thanks.;5;Google Play Store;;Positif
Mas Saya fr;13/08/2025 14:01;mantapp starlinkk koneksi internet yang sempurna dan tercepat 👍;5;Google Play Store;;Positif
Kharina Wifi Hotspot;12/08/2025 10:50;ok;5;Google Play Store;;Netral
YAKOBUS M;12/08/2025 03:50;terbaik lah;5;Google Play Store;;Positif
Ferry Tewah;11/08/2025 15:56;mantaaaaaaappppppp;5;Google Play Store;;Netral
Anies Anies;10/08/2025 14:29;sangat baik;5;Google Play Store;;Positif
Deni Mulyana;10/08/2025 09:06;sangat bagus untuk di daerah yang tidak ada akeses internet sama sekali;5;Google Play Store;;Negatif
MUHAMMAD SOFIAN;10/08/2025 02:22;Starlink ini sangat membantu kami yang tinggal di jauh dari jangkauan fiber optik dan jaringan internet, karena daerah di wilayah rumah saya jaringan internet sangat buruk. Terimakasih dengan adanya starlink ini sangat bermanfaat dan membantu sekali, tapi saran kami semoga paket Residence lite didaerah kami mohon diturunkan harga karena di harga Rp. 479.000 masih mahal bagi kami disini. Terima kasih🙏😊;5;Google Play Store;;Positif
Oppo Biru;09/08/2025 16:02;sangat membantu dan mudah digunakan;5;Google Play Store;;Positif
aghues sasuke;09/08/2025 10:25;mantap;5;Google Play Store;;Netral
Bennie Rachman;09/08/2025 09:29;sangat bagus;3;Google Play Store;;Positif
Rojer Morgan;09/08/2025 05:51;starlink Mantal;5;Google Play Store;;Netral
Kuncup Puspita;09/08/2025 03:49;good;5;Google Play Store;;Netral
Maura NANDITA KAMAN;08/08/2025 15:38;sangat membantuuu jika internet nasional mati..;5;Google Play Store;;Netral
Vinsensius Venerius Paskalis pantang;08/08/2025 14:54;sangat bagus..;5;Google Play Store;;Positif
iyarcom;08/08/2025 14:34;Sangat cocok dalam hutan...petualang;5;Google Play Store;;Positif
Rapael Renolek;08/08/2025 13:52;knapa saya pkay gen 3 nglek trus;5;Google Play Store;;Netral
Faisal;08/08/2025 10:05;bagus sekali sangat bermanfaat;5;Google Play Store;;Positif
Arif 76;08/08/2025 04:09;tingkatkan lagi layanannya;5;Google Play Store;;Netral
Ferdi Moy;07/08/2025 11:39;please improve the latency in Indonesia. i'm using starlink for online gaming. the latency during night very bad. i hope starlink can fix this ASAP;5;Google Play Store;;Negatif
EDo Fetra;07/08/2025 08:16;nice;5;Google Play Store;;Netral
Febriani;07/08/2025 04:53;ok;5;Google Play Store;;Netral
DJ Chanel;07/08/2025 01:17;Luarbiasa👍;5;Google Play Store;;Negatif
Yanti Ku;06/08/2025 23:34;bagus sih ga ada eror cuman kurang banyak fitur nya aja;4;Google Play Store;;Netral
SUPRIADI 32;06/08/2025 23:32;"Sangat jelek. sekarang jika menggunakan paket jelajah sudah kena ""MOVING TO FAST"" dan sampai saat ini tidak ada solusi yg diberikan. no recommended";1;Google Play Store;;Negatif
RIFALDY. MANOSO koLexi BaMbu cIptAaN ALLAH;05/08/2025 13:28;sangat bagus.. cuma tolong bahasanya di ganti dengan bahasa indonesia;5;Google Play Store;;Positif
Ervena Susilawati;05/08/2025 03:20;pada saat vc cerah bangat videonya, suara juga tdk terputus putus.;5;Google Play Store;;Negatif
Melvis Haleku;05/08/2025 00:32;Sangat Bermanfaat;5;Google Play Store;;Positif
muminin alparo;04/08/2025 20:29;bagus sekali;4;Google Play Store;;Positif
agoeng wiedodo;03/08/2025 13:28;Pengalaman Internet yg super cepet dan gampang pemasangan dan perawatan,.. mudah2an aweth... tq;5;Google Play Store;;Positif
Cur Rut;03/08/2025 12:53;jangan pernah pake starlink , parah banget bayar mahal tapi sinyal sering lag;1;Google Play Store;;Negatif
Fahri Nawawi;03/08/2025 02:04;mantap gan lancar;5;Google Play Store;;Netral
Rusdiyanto R. Kule;02/08/2025 13:57;good;5;Google Play Store;;Netral
Anike Melatunan;02/08/2025 13:11;baik;4;Google Play Store;;Positif
Kayuan Tofan;02/08/2025 09:50;mantap👍👍;5;Google Play Store;;Netral
Jaha ri;02/08/2025 09:48;ok;4;Google Play Store;;Netral
Kukuh Ali Wibowo;01/08/2025 23:15;👍🏽👍🏽;5;Google Play Store;;Netral
Obi Sool;01/08/2025 12:34;nice;5;Google Play Store;;Netral
Ayah Ayah;01/08/2025 12:28;oke yes;5;Google Play Store;;Netral
Samuel Cristian;01/08/2025 10:40;mantap;5;Google Play Store;;Netral
ARIFIN TARIGAN;01/08/2025 05:50;jaringan lossss tanpa macettt;5;Google Play Store;;Netral
Pak Elsa;01/08/2025 05:09;ok;5;Google Play Store;;Netral
Indra Kurniawan;31/07/2025 13:58;sangat recommended untuk daerah yang tidak memiliki akses internet;5;Google Play Store;;Negatif
CUMA HIBURAN;31/07/2025 12:45;luar biasa;5;Google Play Store;;Negatif
Asmadi;31/07/2025 09:55;sangat puas;3;Google Play Store;;Netral
Efendy 88;31/07/2025 07:34;cukup membantu;5;Google Play Store;;Positif
Risna Lololuan;31/07/2025 01:44;mantap jaringannya terima kasih sudah membantu kami di daerah yang susah jaringan internet;5;Google Play Store;;Positif
FADLY WAHAB LEISUBUN;29/07/2025 12:43;sukses selalu;5;Google Play Store;;Positif
Dinejad Medina;29/07/2025 10:25;mantap;5;Google Play Store;;Netral
Berly Raymond;29/07/2025 07:03;bagus banget;5;Google Play Store;;Positif
Leo Ghoutama;29/07/2025 06:58;good job;5;Google Play Store;;Netral
